student_id,course_id,mark,semester_number,predicted_mark,student_count_above_zero,course_count_above_zero,difference
8671,RQUE3,23.0,1,100.0,50,657,77.0
7218,PHE1,9.0,1,81.90973987722413,42,1218,72.90973987722413
33129,PHE1,12.0,1,83.03382310986326,12,1218,71.03382310986326
33684,PHBM 453,14.0,1,82.41732466530493,16,1743,68.41732466530493
33684,PHR 209,19.0,1,86.82234090325034,16,1940,67.82234090325034
28663,PHE1,7.0,2,70.38799942166716,14,1218,63.38799942166716
27860,PHPT 337,84.0,1,20.617730990491616,22,2198,63.382269009508384
33684,PHBM 947,18.0,1,80.58692169355852,16,1417,62.58692169355852
21327,PHE7,70.0,1,8.61964618666353,14,1760,61.38035381333647
21401,PHE2,8.0,1,69.10499766379274,36,966,61.104997663792744
29601,PHPT 436,4.0,1,63.64576955474976,17,1972,59.64576955474976
2732,PHBM 751,8.0,1,67.36213350079251,34,1447,59.36213350079251
11684,PHPP 840,12.0,2,69.77135963875399,36,1115,57.77135963875399
33684,PHCC 326,25.0,1,82.42676463621028,16,1928,57.42676463621028
7154,PHR 310,85.0,1,27.79680252517705,65,1794,57.20319747482295
33684,PHPT 436,24.0,1,81.16016051147926,16,1972,57.16016051147926
4972,PHR 015,13.0,1,69.45009826407569,57,1165,56.45009826407569
25448,PHPT 436,5.0,1,61.111429418827534,12,1972,56.111429418827534
34001,PHPC 446,8.0,2,64.0608546354648,10,1888,56.06085463546481
12470,PHCC 728,3.0,1,59.02028093735311,51,1244,56.02028093735311
2353,PHR 718,10.0,1,66.00627857700974,39,1275,56.00627857700974
12470,PHPT 931,1.0,2,56.88694962813917,51,1043,55.88694962813917
11684,PHPP 840,14.0,1,69.77135963875399,36,1115,55.77135963875399
29550,PHE3,24.0,1,79.65676436116905,12,1465,55.65676436116905
5756,PHPP 840,5.0,1,60.41334265413812,55,1115,55.41334265413812
21327,PHE1,35.0,2,89.78348913069802,14,1218,54.783489130698015
12105,PHR 017,25.0,1,79.63173893218018,43,1306,54.631738932180184
7093,PHE5,11.0,1,65.05368920910358,28,792,54.05368920910358
