student_id,Lvl 1,Lvl 2,Lvl 3,Lvl 4,PHAC 358,PHAC 359,PHAC 457,PHAC 556,PHAC 855,PHBM 149,PHBM 250,PHBM 453,PHBM 552,PHBM 654,PHBM 751,PHBM 848,PHBM 947,PHCC 022,PHCC 121,PHCC 326,PHCC 629,PHCC 728,PHCC 924,PHCC 927,PHCC023,PHCC225,PHE1,PHE2,PHE3,PHE4,PHE5,PHE6,PHE7,PHPC 446,PHPC 545,PHPP 543,PHPP 642,PHPP 741,PHPP 839,PHPP 840,PHPT 030,PHPT 337,PHPT 436,PHPT 535,PHPT 638,PHPT 734,PHPT 833,PHPT 931,PHPT 932,PHR 015,PHR 016,PHR 017,PHR 104,PHR 206,PHR 208,PHR 209,PHR 310,PHR 319,PHR 405,PHR 420,PHR 512,PHR 718,PHR 913,PHR 914,RQU 103,RQU 207,RQU 211,RQU101,RQU102,RQUE1,RQUE2,RQUE3,RQUE4,RQUE5,RQUE6
11123,0.0,0.0,0.0,0.0,68.0,77.0,92.0,0.0,79.0,79.0,84.0,67.0,87.0,87.0,68.0,0.0,79.0,89.0,84.0,87.0,63.0,0.0,0.0,0.0,0.0,83.0,72.0,76.0,73.0,0.0,68.0,0.0,79.0,82.0,86.0,71.0,80.0,77.0,0.0,0.0,0.0,63.0,82.0,80.0,85.0,58.0,0.0,74.0,77.0,81.0,88.0,82.0,92.0,91.0,78.0,88.0,75.0,75.0,92.0,73.0,73.0,0.0,0.0,0.0,89.0,84.0,90.0,76.0,83.0,83.0,0.0,0.0,0.0,92.0,0.0
11130,0.0,0.0,0.0,0.0,80.0,64.0,67.0,58.0,50.0,60.0,61.0,68.0,60.0,56.0,75.0,0.0,76.0,0.0,80.0,80.0,54.0,56.0,59.0,0.0,71.0,75.0,0.0,78.0,78.0,0.0,83.0,0.0,74.0,60.0,67.0,62.0,70.0,72.0,72.0,68.0,52.0,60.0,70.0,74.0,71.0,53.0,66.0,55.0,81.0,0.0,82.0,0.0,84.0,77.0,89.0,83.0,73.0,60.0,87.0,75.0,81.0,50.0,78.0,0.0,57.0,82.0,79.0,89.0,77.0,77.0,0.0,0.0,0.0,76.0,0.0
11143,0.0,0.0,0.0,0.0,91.0,83.0,93.0,0.0,89.0,85.0,92.0,80.0,62.0,91.0,0.0,0.0,85.0,83.0,88.0,96.0,80.0,87.0,81.0,0.0,0.0,79.0,0.0,0.0,93.0,0.0,93.0,0.0,94.0,87.0,80.0,73.0,81.0,77.0,0.0,0.0,0.0,96.0,86.0,86.0,87.0,81.0,0.0,0.0,87.0,75.0,92.0,0.0,93.0,97.0,85.0,92.0,83.0,89.0,0.0,0.0,87.0,0.0,0.0,0.0,91.0,75.0,99.0,77.0,83.0,0.0,0.0,89.0,0.0,96.0,0.0
11155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,85.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
11159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,72.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
11161,0.0,0.0,0.0,0.0,76.0,78.0,68.0,53.0,57.0,90.0,80.0,69.0,59.0,75.0,79.0,50.0,55.0,69.0,86.0,77.0,55.0,57.0,54.0,0.0,0.0,73.0,75.0,0.0,76.0,0.0,0.0,0.0,85.0,59.0,57.0,57.0,56.0,70.0,0.0,0.0,0.0,53.0,69.0,55.0,53.0,57.0,0.0,0.0,88.0,74.0,77.0,0.0,91.0,78.0,100.0,77.0,63.0,73.0,56.0,54.0,70.0,0.0,0.0,0.0,82.0,71.0,81.0,77.0,49.0,0.0,0.0,0.0,0.0,85.0,56.0
11181,0.0,0.0,0.0,0.0,55.0,64.0,63.0,66.0,74.0,52.0,64.0,52.0,53.0,51.0,56.0,0.0,52.0,87.0,80.0,59.0,65.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,68.0,0.0,0.0,0.0,73.0,57.0,51.0,58.0,54.0,73.0,0.0,0.0,0.0,61.0,67.0,50.0,66.0,51.0,0.0,0.0,69.0,54.0,75.0,57.0,60.0,70.0,80.0,62.0,60.0,63.0,0.0,56.0,70.0,0.0,0.0,0.0,65.0,60.0,73.0,53.0,74.0,78.0,0.0,0.0,0.0,77.0,0.0
11217,0.0,0.0,0.0,0.0,78.0,75.0,89.0,80.0,81.0,72.0,77.0,77.0,76.0,81.0,71.0,73.0,81.0,0.0,69.0,83.0,83.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,84.0,0.0,75.0,87.0,88.0,75.0,87.0,89.0,92.0,75.0,0.0,85.0,0.0,71.0,77.0,77.0,85.0,72.0,79.0,0.0,71.0,84.0,88.0,78.0,82.0,78.0,84.0,70.0,79.0,68.0,84.0,78.0,90.0,84.0,0.0,0.0,59.0,72.0,79.0,73.0,81.0,0.0,84.0,70.0,0.0,0.0,0.0
11218,0.0,0.0,0.0,0.0,86.0,74.0,61.0,77.0,55.0,56.0,77.0,60.0,76.0,63.0,67.0,55.0,66.0,0.0,73.0,73.0,59.0,64.0,0.0,45.0,0.0,70.0,0.0,61.0,75.0,0.0,65.0,0.0,75.0,75.0,70.0,66.0,59.0,70.0,0.0,0.0,0.0,79.0,70.0,71.0,50.0,54.0,0.0,0.0,60.0,0.0,78.0,82.0,85.0,81.0,65.0,63.0,53.0,53.0,75.0,0.0,65.0,61.0,57.0,0.0,78.0,94.0,69.0,57.0,84.0,83.0,0.0,0.0,0.0,89.0,0.0
11226,0.0,0.0,0.0,0.0,80.0,82.0,87.0,78.0,87.0,84.0,88.0,80.0,63.0,78.0,79.0,76.0,91.0,82.0,94.0,94.0,82.0,81.0,83.0,81.0,0.0,94.0,0.0,80.0,95.0,0.0,69.0,87.0,0.0,72.0,84.0,82.0,84.0,89.0,0.0,0.0,0.0,84.0,79.0,88.0,88.0,82.0,85.0,79.0,86.0,97.0,90.0,62.0,88.0,92.0,81.0,82.0,89.0,82.0,92.0,93.0,90.0,85.0,73.0,0.0,85.0,86.0,92.0,90.0,88.0,78.0,0.0,84.0,0.0,0.0,0.0
11244,0.0,0.0,0.0,0.0,54.0,70.0,64.0,60.0,49.0,57.0,66.0,63.0,0.0,50.0,68.0,0.0,0.0,61.0,65.0,64.0,50.0,0.0,0.0,0.0,0.0,63.0,61.0,0.0,60.0,0.0,83.0,0.0,61.0,65.0,49.0,63.0,61.0,59.0,53.0,0.0,0.0,50.0,56.0,63.0,52.0,51.0,53.0,0.0,59.0,0.0,0.0,0.0,71.0,82.0,80.0,58.0,57.0,55.0,68.0,67.0,79.0,0.0,0.0,0.0,63.0,63.0,62.0,66.0,72.0,0.0,0.0,60.0,0.0,76.0,0.0
11274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,81.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
11279,0.0,0.0,0.0,0.0,75.0,70.0,76.0,76.0,0.0,77.0,61.0,64.0,58.0,69.0,69.0,0.0,67.0,71.0,76.0,81.0,61.0,58.0,75.0,0.0,0.0,66.0,0.0,0.0,68.0,0.0,68.0,0.0,0.0,56.0,63.0,74.0,86.0,71.0,63.0,66.0,0.0,57.0,64.0,70.0,56.0,66.0,68.0,0.0,0.0,0.0,67.0,0.0,90.0,81.0,68.0,72.0,62.0,62.0,82.0,56.0,76.0,0.0,77.0,0.0,83.0,68.0,85.0,78.0,76.0,69.0,0.0,0.0,0.0,86.0,0.0
